ID,Type,Round,Timestamp,Sender,Receiver,Amount (ALGO),Fee (ALGO),Asset ID,Note
25ATGDF2BZWKF46GU72WZXRZKD5EYVOF7Y7N4YCDWREYGE4E4BUQ,axfer,57830378,2026-01-27 14:07:08 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,0,0.001,1357247143,
SKE2FWJ44KKAX5STCJQSQLAKTMSECTNX6JQNBK473JKNLA6PUAEA,axfer,57830373,2026-01-27 14:06:54 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,7TL5PKBGPH4W7LEZW5SW5BGC4TH32XVFV5NVTXE4HTTPVK2JUJODCVTHSU,0,0.001,2660433606,
BVFEQNPXX4UYDMKLDFGDMMYRHCBB4MOBF4VR3YYV5TVEHTFBUI7Q,axfer,57830361,2026-01-27 14:06:21 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,7TL5PKBGPH4W7LEZW5SW5BGC4TH32XVFV5NVTXE4HTTPVK2JUJODCVTHSU,0,0.001,2494786278,
2S2R5LC5YI5G36CFPYS65U5EGK4XRLBVAMWULN66D5ZNBLCJDTOA,axfer,57547496,2026-01-18 10:14:52 UTC,TMZMRB6QLWZ6M37V3GBQTGARSGQWIWHFG7LMMWCYHFKD3KLLBTGY7GAG6E,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,200,0.001,2699078351,
WLUMF7EVQ2FOT6IPPWVHWMJTGHB7P2FO3JJNWMBAANWGZEJAAMVQ,pay,57502378,2026-01-16 23:07:29 UTC,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,1.3e-05,0.0,,VGhlIGFkZHJlc3MgMlBHREkuLjdOUEQ0IHRoYXQganVzdCBzZW50IHlvdSAwLjAwMDAwMSBBTEdPIGlzIGltcGVyc29uYXRpbmcgYW4gYWRkcmVzcyB5b3UgcmVjZW50bHkgaW50ZXJhY3RlZCB3aXRoLiBEbyBub3QgYWNjaWRlbnRhbGx5IHNlbmQgdGhlbSBmdW5kcy4=
AHJOSSRKSPX5MTZMKZT5EQVC2I2QAGM5GWJBVFLJOFU4M2RL3Z5Q,pay,57502372,2026-01-16 23:07:12 UTC,2PGDIL7ROAQPGJU54L4ZXKQSNPY7APM5B3GJX4IKSGFVPEBFMSSLB7NPD4,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,1e-06,0.001,,
OYTPTGROCJJASL4PDQME4CFMIHUUW7QMVRSKLTAP2524NVJ3BCGQ,pay,57502261,2026-01-16 23:02:00 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,2PGDGC7IAIJNNG2MYFHEEGPQ3RRBURAVQDG64UKY5V2V5VHKD4Z6QJCE44,1026.046009,0.001,,
LDDG4SSMLXFCD3M7LPYPNQ3ZSSMA2OSMM4L57RGM4UJNWTNCRBMQ,pay,57501382,2026-01-16 22:20:59 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,V73GWLED56UUKKGOESJYHQADILUFMDM4RIBZZOLOOR4RKONZFDXYTVPMRM,0.0,0.001,,UGVyYSBTd2FwIEZlZQ==
Z2A6DL7WMXQKE63JAP34NVI7SII6V2HJD4ORJCDGYX7JPC27NL6Q,appl,57501382,2026-01-16 22:20:59 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,,0,0.0,,H4sIAAAAAAAAA72QPU/DMBiE/4tnD7Zf+3XMRlqHxLVxkybOR9WhQpWYUEQrMVT974QNwVpYTnfTc3dXMh8vr2fysL+S+fT+cnq75PMSCTJGKDl/HL/SnoRdCqFtB1n72Fex9k1jPdhCrwFhaMoYRHJPgxp0u4MRkp86Z6OtaksoZ1pJZgyXVGi1eCkRDzf6gyjuSeSghUHgdFHNMpAofxOz7K4jQSkNLPvTZcIwbgzLDFISNwG020x56mxrU71yJSI0nRJpVcYi3zq/HZ/bMKqy6DrEqp/wsRr7KMl/dfz+/uH2CT3cek5tAgAA
FOL43HELA4GMPELHP7AF4U7VBCBG6GW6K542G3Z2J2Z5PPM4IE6Q,appl,57501382,2026-01-16 22:20:59 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,,0,0.0,,
JP7MQQBWJT2OW4GSKYGFO3HEGA7TIHBA54D6X6HKUNUYVCKJZAGA,appl,57501382,2026-01-16 22:20:59 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,,0,0.0,,
SVKEKBM2WLMT2MAVWDJW4CZAYXPM3ZZ4OQSBBGLSUOPVSKNUIO3A,appl,57501382,2026-01-16 22:20:59 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,,0,0.0,,
OP3G6WSXTRUWEWIZMKM5HZX3MI22BQOF2S4JGB5N5V4B7CTB2RZQ,appl,57501382,2026-01-16 22:20:59 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,,0,0.0,,
WAXF7DBC57XWMKETMRBZYJGXPEOSS7K3Q4UEGPHZY3BPXGKNZLHA,appl,57501382,2026-01-16 22:20:59 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,,0,0.065,,eyJub3RlIjp7IjAiOjAuMTI5NzczNiwiMjY5OTA3ODM1MSI6Mi4xNTU4NDM3MTI5MDA1NzUsIm1vZGUiOiJGSVhFRF9JTlBVVCIsImlucHV0QXNzZXRJZCI6MjY5OTA3ODM1MSwib3V0cHV0QXNzZXRJZCI6MCwiYW1vdW50IjoiMjAyMDIwMjAzIiwicXVvdGVBbW91bnQiOiIxMDI1NTI3MzQ5IiwicHJpY2VJbXBhY3QiOjAuNDI0OTg5ODU2NjA4ODg1MDUsImZlZUJwcyI6IjEwIiwib3V0cHV0QW1vdW50RmVlIjoiMTAyNjU1MyIsInNsaXBwYWdlQnBzIjoiMTAwIn0sIm5vbmNlIjoiZjQ5NmIzMWYxNmU0ZDIzYmE1N2RjM2I3YjFkOGI2YTgiLCJjaGVja3N1bSI6ImNlMDI0ZTZmIn0=
4XAZGEA2H67BGQH5UQZ32DIJKPCCOTFX6AAVHFCLMJHUITOUDTUA,axfer,57501382,2026-01-16 22:20:59 UTC,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,OET33EZEAEYPPKM2M4XGH5QCFROW7Q5PQ74XDSMD54VYM5MNRY6CNPOHZQ,202020203,0.001,2699078351,
YLH74CKCS623T4KWJDOCEFYRXICY7FIGEIUNX3UUQE3ECWVDVR2Q,axfer,57499901,2026-01-16 21:11:17 UTC,ZVLRVYQSLJNVFMOIOKT35XH5SNQG45IVFMLLRFLHDQJQA5TO5H3SO4TVDQ,2VGK4TOMMH6T2O43NYN3FXVP4JLZ7CII74M2MDAOH3CBKBVLSLZMNDNHAE,202000000,0.001,2699078351,TlVHR0VUIGRhaWx5IGRyb3A=
