ID,Type,Round,Timestamp,Sender,Receiver,Amount (ALGO),Fee (ALGO),Asset ID,Note
UIA5MWKJWV3IAHWOCYHE2N7AQPMSEH4NFNXNFQ4BG4QAW2GLQUPQ,axfer,57865723,2026-01-28 17:43:21 UTC,J2DPPINZ7JSOGDNYMUB5G7HYEUT6VVOKOU7RAVKMWDUSDZY32XM6LDEY3Y,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,63749,0.001,2699078351,
TKDWVAGI2RTRMDBESSLEV7EQVQO74JWLUAKGDBIYQF63AP6O4UPQ,axfer,57865708,2026-01-28 17:42:40 UTC,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,77BZUHKVFT5KO3SN2ARTF7B3E5CPGEVPP2F54U5WJ7MXZK33MJ45CIBHTU,2000000,0.001,2699078351,
HMXUGN3J3IXV7ZY7WZOIJ224EF5A5BHSV2I45JTUA7XTGZSV4EYQ,axfer,57865664,2026-01-28 17:40:37 UTC,J2DPPINZ7JSOGDNYMUB5G7HYEUT6VVOKOU7RAVKMWDUSDZY32XM6LDEY3Y,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,2000000,0.001,2699078351,TFAgcmVmdW5kcw==
3WU2F5OQDZYFLW2LRLFOVZWHH6XGTDJXUQXENQEBMZ7PTAQRV2NQ,pay,57837723,2026-01-27 19:51:17 UTC,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,1.3e-05,0.0,,VGhlIGFkZHJlc3MgSjJEUE0uLlkyUlZZIHRoYXQganVzdCBzZW50IHlvdSAwLjAwMDAwMSBBTEdPIGlzIGltcGVyc29uYXRpbmcgYW4gYWRkcmVzcyB5b3UgcmVjZW50bHkgaW50ZXJhY3RlZCB3aXRoLiBEbyBub3QgYWNjaWRlbnRhbGx5IHNlbmQgdGhlbSBmdW5kcy4=
BXSHDNLU56F7FVIEP636UEUQKUKST7GAWHK5XWNUWXDEMJJOU6OQ,pay,57837717,2026-01-27 19:51:01 UTC,J2DPMGUZBLR6Z4GEZPIH4KKLNOW3EL7PAZKMJZX2X66JI6XF73KOLY2RVY,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,1e-06,0.001,,
Q7DYPVTERTTOTCOWCRQCTWPUZJBMUTMF4ZF4TS5CSS34FV4SQJOA,pay,57837606,2026-01-27 19:45:50 UTC,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,J2DPPINZ7JSOGDNYMUB5G7HYEUT6VVOKOU7RAVKMWDUSDZY32XM6LDEY3Y,330.0,0.001,,
ECDEUEPOCCZCG2ORUPRORVP26O5WOJSUMX6USAEJQAF2M3SDQ4CQ,axfer,57837054,2026-01-27 19:20:02 UTC,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,J2DPPINZ7JSOGDNYMUB5G7HYEUT6VVOKOU7RAVKMWDUSDZY32XM6LDEY3Y,130303070,0.001,2699078351,
CCZHJUGJ67VBI2F2ZVKCJLAOD4WZEQT3COHAHZ5LEUHD5H2FAFKA,appl,57831795,2026-01-27 15:13:04 UTC,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,,0,0.003,,
LRQQYYZDFVMTGBGCNCLXPMAJQQEFS4EG6RJPFVLD4QRVEYFHQP6A,appl,57831795,2026-01-27 15:13:04 UTC,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,,0,0.001,,Mg==
2FMTK5RYIZATC2I24T5FLCLGEES5VFTSPG5SOYILPH5NZWFYDTTA,appl,57831795,2026-01-27 15:13:04 UTC,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,,0,0.001,,MQ==
SBC4OZTINYLMEALC5A6VTJK4LRT7RAQ7WWQXUMSIWIDMWGGZCX4A,appl,57831795,2026-01-27 15:13:04 UTC,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,,0,0.001,,
WPOA5A3FCUVC5B2Q3D65CLI77PIDWX5QRY6M26HRJSAZMM34PFLA,appl,57831795,2026-01-27 15:13:04 UTC,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,,0,0.001,,
WUXUYJJTM2V52YZ3FLHH2CFDDYXA6TYOWOO6C6J6M7ZS22MTBIGA,axfer,57518894,2026-01-17 11:57:27 UTC,ZVLRVYQSLJNVFMOIOKT35XH5SNQG45IVFMLLRFLHDQJQA5TO5H3SO4TVDQ,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,1290129,0.001,2699078351,
T2QWPIIVFTBVX6YBSWOCQJKZ7UJKEUSU3U2ETZXT3KNUFWC6SMNQ,axfer,57499904,2026-01-16 21:11:25 UTC,ZVLRVYQSLJNVFMOIOKT35XH5SNQG45IVFMLLRFLHDQJQA5TO5H3SO4TVDQ,2Z5CICE4XCUQCOZDOZHU3WD4PKNYQIKJJFRKVMZ5G4FJFFZ7L7AH4EN7TY,129000000,0.001,2699078351,TlVHR0VUIGRhaWx5IGRyb3A=
