ID,Type,Round,Timestamp,Sender,Receiver,Amount (ALGO),Fee (ALGO),Asset ID,Note
M6WNAKBK2LSNAB6JPIKV2XAB2H6JLPUTYNFMWHOU6UPAL4QJQ3PQ,pay,57864398,2026-01-28 16:40:55 UTC,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,5DJPQRIEP26M3OQRINIYVLOY23HVUTM5MRWFL6QGPIHBAFBRLD75OBHGNU,1.3e-05,0.0,,VGhlIGFkZHJlc3MgTTJOSzcuLjJPWlBNIHRoYXQganVzdCBzZW50IHlvdSAwLjAwMDAwMSBBTEdPIGlzIGltcGVyc29uYXRpbmcgYW4gYWRkcmVzcyB5b3UgcmVjZW50bHkgaW50ZXJhY3RlZCB3aXRoLiBEbyBub3QgYWNjaWRlbnRhbGx5IHNlbmQgdGhlbSBmdW5kcy4=
BD4QEAQO6O46CPIVDBO543NKKWN6OO2DNTE7DJ7AOM2WJFM4WUTA,pay,57864391,2026-01-28 16:40:35 UTC,M2NK77HPQIJYYNHJA5NGN2354LE4MRL7FQWOPBBDYGZE67BB6NHBH2OZPM,5DJPQRIEP26M3OQRINIYVLOY23HVUTM5MRWFL6QGPIHBAFBRLD75OBHGNU,1e-06,0.001,,
JUJDTNRSNUC63H5URNXO2YJJGLAP2HLPCQYC4ZPDIA6FBECQ5EZQ,pay,57864284,2026-01-28 16:35:31 UTC,5DJPQRIEP26M3OQRINIYVLOY23HVUTM5MRWFL6QGPIHBAFBRLD75OBHGNU,M2NKS63BDMEFBE3KHDNTM77TDINPLEO7CF4MTUFB2OEYQOKA74TV7YO34M,20.0,0.001,,
B3QCRQKA6E3GN27BHRCVTV4SQVK3NY3JKZVHLZSG65J3SHVUEOPQ,axfer,57853146,2026-01-28 07:54:10 UTC,5DJPQRIEP26M3OQRINIYVLOY23HVUTM5MRWFL6QGPIHBAFBRLD75OBHGNU,M2NKS63BDMEFBE3KHDNTM77TDINPLEO7CF4MTUFB2OEYQOKA74TV7YO34M,950303,0.001,2699078351,
TICLWYCSZNJXVQHJZNK2LLDQCSFSU6VOLBUOPQSXYRT4D3VWOJMQ,pay,57851632,2026-01-28 06:43:13 UTC,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,5DJPQRIEP26M3OQRINIYVLOY23HVUTM5MRWFL6QGPIHBAFBRLD75OBHGNU,1.3e-05,0.0,,VGhlIGFkZHJlc3MgVk80WlQuLkpFSUVBIHRoYXQganVzdCBzZW50IHlvdSAwLjAwMDAwMSBBTEdPIGlzIGltcGVyc29uYXRpbmcgYW4gYWRkcmVzcyB5b3UgcmVjZW50bHkgaW50ZXJhY3RlZCB3aXRoLiBEbyBub3QgYWNjaWRlbnRhbGx5IHNlbmQgdGhlbSBmdW5kcy4=
C5I2PNUJ6UXR3N4CXLCRAK575GX5ZCCWMVKOLSMJTX75TT235MQQ,pay,57851624,2026-01-28 06:42:50 UTC,VO4ZTOTAX2JIJI36OTGCYCCQHCZULQFCRDGFWRDISTESREC64CQUOJEIEA,5DJPQRIEP26M3OQRINIYVLOY23HVUTM5MRWFL6QGPIHBAFBRLD75OBHGNU,1e-06,0.001,,
KBCK7BF3QQE5YM4K4QNCBCZCNS5D7FQVKIR7KVEWCOSPMSNZGSDA,appl,57851510,2026-01-28 06:37:30 UTC,5DJPQRIEP26M3OQRINIYVLOY23HVUTM5MRWFL6QGPIHBAFBRLD75OBHGNU,,0,0.002,,dGlueW1hbi92MjpqeyJvcmlnaW4iOiJ0aW55bWFuLXdlYi1jbGllbnQifQ==
LCFYZTPMXULBHAW5OSO6AZHFYFHEVKEECAZKBGKWQ5S42ELCIONQ,pay,57851510,2026-01-28 06:37:30 UTC,5DJPQRIEP26M3OQRINIYVLOY23HVUTM5MRWFL6QGPIHBAFBRLD75OBHGNU,VO4Z5WKFZR3LGTEKD32V7JMFAEOORMNYXKFVZU23X2LYH7JINUULK7MWMA,25.0,0.001,,
P7SGHWIROE7UX7MVLP5VHSMQN4OCTZL6ONN4Y6BREQ5OMHESCFFA,pay,57809128,2026-01-26 21:33:22 UTC,WARN666I6ITOTBIFMYOOYDAT2JA63QQO2Y6MJCNER5YAF4L6MQO7W6SCAM,5DJPQRIEP26M3OQRINIYVLOY23HVUTM5MRWFL6QGPIHBAFBRLD75OBHGNU,1.3e-05,0.0,,VGhlIGFkZHJlc3MgR0hEUk8uLkpIVVRJIHRoYXQganVzdCBzZW50IHlvdSAwLjAwMDAwMSBBTEdPIGlzIGltcGVyc29uYXRpbmcgYW4gYWRkcmVzcyB5b3UgcmVjZW50bHkgaW50ZXJhY3RlZCB3aXRoLiBEbyBub3QgYWNjaWRlbnRhbGx5IHNlbmQgdGhlbSBmdW5kcy4=
5IYNCTGJBHZSQGZRGSM6MKE74RTNVU6YPLDILYAKVSIXN3R5IVZQ,pay,57809115,2026-01-26 21:32:42 UTC,GHDROV5NBWKOFIYGEJVO4MDRSVL7QC7FHKJQDA3IF5VGCM5HTBTM5JHUTI,5DJPQRIEP26M3OQRINIYVLOY23HVUTM5MRWFL6QGPIHBAFBRLD75OBHGNU,1e-06,0.001,,
VSBRDNKH7WB2UFB2VUMPDDUUQZNLPCIY4N3T5SOPNGRUY6DYLQAQ,appl,57809005,2026-01-26 21:27:33 UTC,5DJPQRIEP26M3OQRINIYVLOY23HVUTM5MRWFL6QGPIHBAFBRLD75OBHGNU,,0,0.0,,
