ID,Type,Round,Timestamp,Sender,Receiver,Amount (ALGO),Fee (ALGO),Asset ID,Note
DZZGQXZLLOGZ7QRR5R5EGJKDTKWJUGM3LKU5PQZIZHXU2H3ZBLAA,appl,57864435,2026-01-28 16:42:41 UTC,53LJLQATA34TUZRWPYQJXGRDDZIW4T3MXEQ455VFTASI5PSWXMBNN2R424,,0,0.002,,
WDXPKG4XI5NTY7BIAIO6XIJXNPBRJQ5JYBV2HFDEXFNREHRKRO4Q,appl,57864417,2026-01-28 16:41:49 UTC,53LJLQATA34TUZRWPYQJXGRDDZIW4T3MXEQ455VFTASI5PSWXMBNN2R424,,0,0.002,,
ZYFFC4DDAXBCA5SKLLTVYLYC36XQQM3DD6UE3F75OB5JQTC4VDSA,appl,57864391,2026-01-28 16:40:35 UTC,53LJLQATA34TUZRWPYQJXGRDDZIW4T3MXEQ455VFTASI5PSWXMBNN2R424,,0,0.002,,
KCL4RXBY7HGOUBIVI6MOL6AJF3J7DKBJXUGCX2RJUHDZB3DPYARA,appl,57864365,2026-01-28 16:39:21 UTC,53LJLQATA34TUZRWPYQJXGRDDZIW4T3MXEQ455VFTASI5PSWXMBNN2R424,,0,0.002,,
BJHYATOGN3TQHEC2765EUMTAB6TVUXE3F6KS3FCKMETM2HBEC3PA,appl,57864131,2026-01-28 16:28:17 UTC,53LJLQATA34TUZRWPYQJXGRDDZIW4T3MXEQ455VFTASI5PSWXMBNN2R424,,0,0.002,,
D4EDMTPOBUBL4AEAD5IX3KKC7P4ZSNQW53ZBBBRU3VPIXH72KIFQ,appl,57864034,2026-01-28 16:23:42 UTC,53LJLQATA34TUZRWPYQJXGRDDZIW4T3MXEQ455VFTASI5PSWXMBNN2R424,,0,0.002,,
ZUUFLCVRZDPOD6FD2576XGO75OLPWNCNJZTPRAT7MKGHK23NUNLA,pay,57864020,2026-01-28 16:23:03 UTC,RESC3GZIYXHFB5Z77AZS6HD43TQLZ3VIHG7RZP4JAISYNOOTVH3PJTGOQY,ZLMXPKLRYPF6MT3VCI5JRTOG6ADFIWBL5D4MGYYYLKHGW6E333K4P4WTVM,1e-06,0.001,,
SQZPQMFCDLN3IJ6UR3BI6T4WXJL5PHQIXUQXV5G56WPV7UGZVHTA,pay,57863908,2026-01-28 16:17:47 UTC,RESCWR7IPJY5HNT2XMU7OB3CWIXHP7F4XEZTSIUVSTVZLBSBILSLJYCHYY,ZLMXPKLRYPF6MT3VCI5JRTOG6ADFIWBL5D4MGYYYLKHGW6E333K4P4WTVM,1.0,0.001,,aGV5IGJybywgaW0gYXNzdW1pbmcgdGhpcyBpcyB0byBnaXZlIGJhY2sgdG8gQ2hyaXM/IHRoYW5rcyBmb3IgZG9pbmcgdGhlIHJpZ2h0IHRoaW5nIGJybywgaW50ZWdyaXR5IGlzIGEgc291Z2h0IGFmdGVyIHRyYWl0Lg==
52PQ4WKRMKONRUJ5A33KRWMDMIUHZ2XNEXAZSSTU3SBM6N6SCLVA,pay,57863622,2026-01-28 16:04:22 UTC,53LJKUO42VU2VPWPUJPXYDRPNBZCVSS4AHHCHHTKYLYLZT2NMDQ4YF3IF4,ZLMXPKLRYPF6MT3VCI5JRTOG6ADFIWBL5D4MGYYYLKHGW6E333K4P4WTVM,1e-06,0.001,,
H5WV262G2HV3J3D5237IQYLGX6CQFYEKQXN4TTLKI66J24C76BPQ,appl,57863512,2026-01-28 15:59:12 UTC,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ,,0,0.002,,
KCZQ2HAYAOHUJDO2REPJJXAUKWJ3U2UF53FJYWAOVD33F3KBFDQQ,appl,57863509,2026-01-28 15:59:04 UTC,53LJLQATA34TUZRWPYQJXGRDDZIW4T3MXEQ455VFTASI5PSWXMBNN2R424,,0,0.01,,
GDQNUKGXDI7GUYTZPTEC6KOYUTFPWRV6JTAVESBZD4IBTVO442BQ,pay,57863509,2026-01-28 15:59:04 UTC,53LJLQATA34TUZRWPYQJXGRDDZIW4T3MXEQ455VFTASI5PSWXMBNN2R424,ZLMXPKLRYPF6MT3VCI5JRTOG6ADFIWBL5D4MGYYYLKHGW6E333K4P4WTVM,4009.171885,0.001,,
WOWC5V6FUYA3YEFBG7P476BZ7UNKQG2E72QS44JBJLGYY6Q24T7A,axfer,57518735,2026-01-17 11:49:57 UTC,ZVLRVYQSLJNVFMOIOKT35XH5SNQG45IVFMLLRFLHDQJQA5TO5H3SO4TVDQ,ZLMXPKLRYPF6MT3VCI5JRTOG6ADFIWBL5D4MGYYYLKHGW6E333K4P4WTVM,7920792,0.001,2699078351,
ICD2J2H4LTOGZ4DXO4C6NGF52XEB2S67AA5ZMEEYJJN3TNPOKAEA,axfer,57499886,2026-01-16 21:10:34 UTC,ZVLRVYQSLJNVFMOIOKT35XH5SNQG45IVFMLLRFLHDQJQA5TO5H3SO4TVDQ,ZLMXPKLRYPF6MT3VCI5JRTOG6ADFIWBL5D4MGYYYLKHGW6E333K4P4WTVM,792000000,0.001,2699078351,TlVHR0VUIGRhaWx5IGRyb3A=
