ID,Type,Round,Timestamp,Sender,Receiver,Amount (ALGO),Fee (ALGO),Asset ID,Note
EXXI7VKGJRDEC6R4SYRROFC7VKLUCWO6YYYT7NCYHG3LKQ2745IQ,appl,57866460,2026-01-28 18:17:49 UTC,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ,,0,0.002,,
T45RN2GU4LIT3I5ZWDRSCZFMDMVMKIUAFEJFGS4WP57DI2PSSN3A,pay,57866457,2026-01-28 18:17:40 UTC,ZXJPSWVZ2QZUULP2U3YXPA32ZH6FPLXX7FIQBUP3ETF25EMYTCEGO4H7NE,ZM5BVRQASA7VGRAIYA77MMW7PNFNZF2HDNDDQ3LLMDZBVNGSQBRXW63PSU,0.0552,0.001,,
KOR5QET5ROF6UAC5L7ACKSE7MMOBXO5ZQGBWYEADAEZ5ES2UEURQ,appl,57866103,2026-01-28 18:01:07 UTC,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ,,0,0.002,,
BEJ2NSVLOQ2HFP4TN7A656NQ6FPZUVFCNTP3GXA5RN6YXNFJMQ7A,pay,57866099,2026-01-28 18:00:56 UTC,ZXJPSWVZ2QZUULP2U3YXPA32ZH6FPLXX7FIQBUP3ETF25EMYTCEGO4H7NE,ZM5BVRQASA7VGRAIYA77MMW7PNFNZF2HDNDDQ3LLMDZBVNGSQBRXW63PSU,0.0165,0.001,,
WSHMWCLDSOFB77TSV5J6YTVY7GTEXTRZ74U6YCRQUBIDVHF7U2XQ,appl,57863782,2026-01-28 16:11:50 UTC,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ,,0,0.002,,
CSZASXCHRW462JLF3P3F33HJT23KT325J6ZQDBFYSO4MWIZG5PZQ,appl,57863720,2026-01-28 16:08:55 UTC,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ,,0,0.002,,
CTOTL6OPXX44X7ISGLZMEYF5WCWBIEMETI7XMBQJFRBNFHHUTZWQ,pay,57863716,2026-01-28 16:08:44 UTC,ZXJPSWVZ2QZUULP2U3YXPA32ZH6FPLXX7FIQBUP3ETF25EMYTCEGO4H7NE,ZM5BVRQASA7VGRAIYA77MMW7PNFNZF2HDNDDQ3LLMDZBVNGSQBRXW63PSU,0.033299,0.001,,
SHHPXND6QKSI6YHWGHCQZJOW4I6RN6TCXYZSG6ACLT3A6KDTXM3Q,pay,57863669,2026-01-28 16:06:33 UTC,ZXJPYOCY64GW6OUZOMZRUVNIESDPTMBV5PFBQWP2G2YDYDBMHLKJAMXNDE,ZM5BVRQASA7VGRAIYA77MMW7PNFNZF2HDNDDQ3LLMDZBVNGSQBRXW63PSU,1e-06,0.001,,
7F3SMKVS6C5HUNU3PSNY67BUD26E46MMZEWHV6XUZZMNWM2F4Z4Q,appl,57863667,2026-01-28 16:06:27 UTC,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ,,0,0.002,,
SBOTVJ4YWOSC3BJIHG7W3MDQAGDXSWQAAR5OXDPNCYDC2TGYRCMQ,pay,57863664,2026-01-28 16:06:19 UTC,ZXJPSWVZ2QZUULP2U3YXPA32ZH6FPLXX7FIQBUP3ETF25EMYTCEGO4H7NE,ZM5BVRQASA7VGRAIYA77MMW7PNFNZF2HDNDDQ3LLMDZBVNGSQBRXW63PSU,0.0159,0.001,,
A2R4GDUAAWO7XDFLMXFYQQQM4CWXIR35BRVYC7H3BD7RVOXIABZA,appl,57863610,2026-01-28 16:03:48 UTC,ZXJPSWVZ2QZUULP2U3YXPA32ZH6FPLXX7FIQBUP3ETF25EMYTCEGO4H7NE,,0,0.002,,
3YSE4X4TVRS42G6ZEH6B52RIKNUJ6XS7XTXTBUSPLHDP2DNB5Z6A,appl,57863587,2026-01-28 16:02:44 UTC,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ,,0,0.002,,
Q5D5AAMSXIV6S2Q4RTAJQZH2GWMM3ADYIFYHTFYYNKFXVELGPBJQ,pay,57863584,2026-01-28 16:02:35 UTC,ZXJPSWVZ2QZUULP2U3YXPA32ZH6FPLXX7FIQBUP3ETF25EMYTCEGO4H7NE,ZM5BVRQASA7VGRAIYA77MMW7PNFNZF2HDNDDQ3LLMDZBVNGSQBRXW63PSU,0.036887,0.001,,bWJy
H5TEEQCGKEOYFXOJRFVBY6Z74WGW7FK2JJ7AEFELONX52OROBTCQ,appl,57863560,2026-01-28 16:01:28 UTC,ABHE544MXL2CWMIZONAIUBNVELWYMKYKWBDNRLOEFQJN3LNF2ZWSMDEKBQ,,0,0.002,,
5FKH27HVSLNSRYUTJFB64YWTZESTORYLDRFHLUCCM2L5YQA2T7MQ,appl,57863556,2026-01-28 16:01:17 UTC,ZXJPSWVZ2QZUULP2U3YXPA32ZH6FPLXX7FIQBUP3ETF25EMYTCEGO4H7NE,,0,0.009,,
HBTBGJO3GZP22TLHTWLFHVFJ4IUOXUPUJVZ6WQNHURGKGBP222HQ,pay,57863556,2026-01-28 16:01:17 UTC,ZXJPSWVZ2QZUULP2U3YXPA32ZH6FPLXX7FIQBUP3ETF25EMYTCEGO4H7NE,ZM5BVRQASA7VGRAIYA77MMW7PNFNZF2HDNDDQ3LLMDZBVNGSQBRXW63PSU,49.75,0.001,,
