ID,Type,Round,Timestamp,Sender,Receiver,Amount (ALGO),Fee (ALGO),Asset ID,Note
JMTOGPS7IVGNQRWPK4XEXFDUOLZHO46NWWCCL7SMLEVDGUY5CCIA,axfer,57866595,2026-01-28 18:24:05 UTC,HZQ73COPAXHHBYAVB6C5UX4HJGULPVI2LG6NZDX6GBRKGTP4Q53XPSDZZE,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,20,0.001,1091143717,QmlsbHlzIEZlYXRoZXJzIERyb3BzIFJld2FyZCBAIDIwIEZFQVRIRVJTIGVhY2ggLSBkZWxpdmVyZWQgYnkgdGhlIERhcmsgQ29pbiBSZXdhcmRzIFN5c3RlbQ==
UOPE4PIMA35OQ2L5CQPIJLDYDS75X3Q7UHIXDDNK32IGC42XTCUA,axfer,57861488,2026-01-28 14:24:17 UTC,JNZ7TE6WYBPTH2MOBMZ66AIKRWVIXXSKZXJZ5OB7MCBSO2JMSLBVNL3X7A,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,546,0.001,982719503,MjUgUGl4ZWxpbmRhcyAoNTI1KSwgMSBQaXhlbGluZGFzIElJICgyMSkgLT4gNTQ2IEJhc2ljIGZvciBCYXNpYyBieSBCYXNpYw==
QJRAGOAOQYPXHYDXQQTTNXFD3DZGEEVK6S3LAS43ZDH32G4UNYZA,axfer,57855958,2026-01-28 10:05:44 UTC,S7CLBLZ46MSRIAXUH7JTLA6MD7KC7OJR7IQZVJ5JNWTKJT5FHNOZZONKY4,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,6000000000,0.001,765171236,
YKANT56CH7LN76SNA7FZZNSY2RL22ZGBEONC6KUNQJJFSIPLWLEA,axfer,57830938,2026-01-27 14:33:05 UTC,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,0,0.001,796490640,ZXlKaFpHUnlaWE56SWpvaVdsb3pNMFUzUmxZMVVFOUhRbHBYVFVGRVRsRlRXbFEyU1RaUVdGSkVWRlZCVjBWRVIwUlpVRVpLUkZSYVRVOVJXbGMzVUVwT1ZrOVNSU0lzSW1GamRHbHZiaUk2SW1kbGJtVnlZWFJsWDJwdlluTWlMQ0poZFhSb2IzSnBlbUYwYVc5dUlqb2liM1ZvWVhOa1pqa3dOMkZ6WkRCbU1HOXVJaXdpZEdsdFpYTjBZVzF3SWpveE56WTVOVEkwTXpnd01UVTJmUT09
DJNPFRYX35DBIKWPYA7FUOZNX763R7FUM6GLE47KT5Q4LSNNGMVA,axfer,57830927,2026-01-27 14:32:34 UTC,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,0,0.001,796490640,ZXlKaFpHUnlaWE56SWpvaVdsb3pNMFUzUmxZMVVFOUhRbHBYVFVGRVRsRlRXbFEyU1RaUVdGSkVWRlZCVjBWRVIwUlpVRVpLUkZSYVRVOVJXbGMzVUVwT1ZrOVNSU0lzSW1GamRHbHZiaUk2SW1kbGJtVnlZWFJsWDJwdlluTWlMQ0poZFhSb2IzSnBlbUYwYVc5dUlqb2liM1ZvWVhOa1pqa3dOMkZ6WkRCbU1HOXVJaXdpZEdsdFpYTjBZVzF3SWpveE56WTVOVEkwTXpVeU1EZ3dmUT09
KOYHCOIUKMHCVE2B4BNVKDJEYBWUWQLHMYAEXWVSQUNLVN44KI7Q,axfer,57830926,2026-01-27 14:32:31 UTC,SKT7S64B2FJ4JNICRICS5VAR6MTSW42GR6L7JBBLUOAH77TU4OVLK75RPM,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,592,0.001,796490640,U2hpdHR5IEpvYiBSZXdhcmQ=
IFWUTPZ4HTR7TELAYXSVJCLRR6LIA72SJPW7G7PGD5NR3SVQ2VXQ,axfer,57830924,2026-01-27 14:32:26 UTC,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,0,0.001,796490640,
KZFVZ47PQRRQIKFZSMJNSPUAOQBLWXFCTLJTBKPBCQINMUHBGTRA,axfer,57830917,2026-01-27 14:32:07 UTC,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,0,0.001,796490640,
X5OJRHOAW4RC7CXIR3CGUGRPIZTUUJJ44Z6G5YG64TL3VMBF4KRQ,axfer,57830913,2026-01-27 14:31:55 UTC,SKT7S64B2FJ4JNICRICS5VAR6MTSW42GR6L7JBBLUOAH77TU4OVLK75RPM,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,631,0.001,796490640,U2hpdHR5IEpvYiBSZXdhcmQ=
LLUIR7RO6Y76T4YYBD2A5O4BJTYKW6SHG2DFI3UZ4CEYQSYTG6DQ,axfer,57830913,2026-01-27 14:31:55 UTC,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,ZZ33E7FV5POGBZWMADNQSZT6I6PXRDTUAWEDGDYPFJDTZMOQZW7PJNVORE,0,0.001,796490640,
